Account address,Show boosts
aripalo@awscommunity.social,true
leegilmore@hachyderm.io,true
s0enke@awscommunity.social,true
lajacobsson@awscommunity.social,true
anamedina@hachyderm.io,true
vkazulkin@techhub.social,true
walmsles@hachyderm.io,true
jcfarris@infosec.exchange,true
matt_codes@awscommunity.social,true
shandrew@hachyderm.io,true
dwaynencloud@hachyderm.io,true
dfrasca80@awscommunity.social,true
jamesmonek@infosec.exchange,true
udondan@frankfurt.social,true
vattybear@awscommunity.social,true
ervinszilagyi@awscommunity.social,true
andreas@social.cloudonaut.io,true
@marcosluis2186@awscommunity.social,true
eyalestrin@mastodon.online,true
edmundcraske@hachyderm.io,true
jbutz@hachyderm.io,true
therealdakotal@hachyderm.io,true
